"Species" "Domain" "Min.sup" "Max.sup" "Classif" "NaCl." "Unit" "Year" "Genus" "Family" "Order" "Class" "Phylum" "Kingdom"
"1037" "Halanaerobium alcaliphilum" "B" 0.427789185489391 4.27789185489391 "Moderate" "s" "p" 1995 "Halanaerobium" "Halanaerobiaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1038" "Halanaerobium fermentans" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2000 "Halanaerobium" "Halanaerobiaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1039" "Halobacillus dabanensis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2005 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1040" "Halobacillus litoralis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 1996 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1041" "Halomonas korlensis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2008 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1042" "Halomonas smyrnensis" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p" 2013 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1043" "Halomonas vilamensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 2011 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1045" "Kushneria indalinina" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p" 2007 "Kushneria" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1046" "Lentibacillus persicus" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p" 2010 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1047" "Marinobacter aquaticus" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2017 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1048" "Modicisalibacter tunisiensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 2007 "Modicisalibacter" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1049" "Oceanobacillus locisalsi" "B" 0 4.27789185489391 "Moderate" "s" "p" 2010 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1050" "Orenia salinaria" "B" 0.342231348391513 4.27789185489391 "No Class" "s" "p" 2000 "Orenia" "Halobacteroidaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1052" "Salinicoccus alkaliphilus" "B" 0 4.27789185489391 "Moderate" "s" "p" 2002 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1053" "Salinicoccus hispanicus" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 1990 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1054" "Salinicoccus iranensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 2008 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1055" "Salinicoccus kunmingensis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2007 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1056" "Salinicoccus luteus" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 2007 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1057" "Salinicoccus siamensis" "B" 0.256673511293635 4.27789185489391 "Moderate" "s" "p" 2007 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1058" "Salinicola halimionae" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2019 "Salinicola" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1059" "Salinicola halophilus" "B" 0.513347022587269 4.27789185489391 "Moderate" "s" "p" 2007 "Salinicola" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1060" "Salinococcus hispanicus" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 1990 "Salinococcus" "Incertae sedis" "Incertae sedis" "Incertae sedis" "Incertae sedis" "Incertae sedis"
"1061" "Sinobaca qinghaiensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 2006 "Sinobaca" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1062" "Streptomonospora flavalba" "B" 0.855578370978782 4.27789185489391 "No Class" "s" "p" 2009 "Streptomonospora" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1063" "Tetragenococcus muriaticus" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 1997 "Tetragenococcus" "Enterococcaceae" "Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"1064" "Thalassobacillus pellis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2011 "Thalassobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1065" "Virgibacillus kekensis" "B" 0 4.27789185489391 "Moderate" "s" "p" 2008 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1067" "Virgibacillus salarius" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2008 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1068" "Salimicrobium luteum" "B" 0.342231348391513 4.62012320328542 "Moderate" "s" "p" 2007 "Salimicrobium" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1070" "Halobacillus profundi" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p" 2007 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1071" "Halobacillus trueperi" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p" 1996 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1072" "Halomonas organivorans" "B" 0.256673511293635 5.13347022587269 "Moderate" "s" "p" 2004 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1073" "Lentibacillus juripiscarius" "B" 0.513347022587269 5.13347022587269 "Moderate" "s" "p" 2005 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1074" "Nesterenkonia halophila" "B" 0.0855578370978782 5.13347022587269 "Moderate" "s" "p" 2008 "Nesterenkonia" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1075" "Saccharomonospora halophila" "B" 1.71115674195756 5.13347022587269 "No Class" "s" "p" 2002 "Saccharomonospora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1076" "Salinicoccus albus" "B" 0.171115674195756 5.13347022587269 "Moderate" "s" "p" 2009 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1077" "Salinisphaera japonica" "B" 0.171115674195756 5.13347022587269 "Moderate" "s" "p" 2013 "Salinisphaera" "Salinisphaeraceae" "Nevskiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1078" "Virgibacillus alimentarius" "B" 0 5.13347022587269 "No Class" "s" "p" 2011 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1079" "Virgibacillus chiguensis" "B" 0 5.13347022587269 "No Class" "s" "p" 2008 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1082" "Alkalibacterium indicireducens" "B" 0 2.39561943874059 "Tolerant" "s" "p" 2008 "Alkalibacterium" "Carnobacteriaceae" " Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"1083" "Aquisalimonas halophila" "B" 0.513347022587269 3.9356605065024 "Moderate" "s" "p" 2014 "Aquisalimonas" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1084" "Radiobacillus kanasensis" "B" 0 2.39561943874059 "Tolerant" "s" "p" 2023 "Radiobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1085" "Anaerohalosphaera lusitana" "B" 0.855578370978782 2.56673511293635 "Moderate" "s" "p" 2020 "Anaerohalosphaera" "Anaerohalosphaeraceae" "Sedimentisphaerales" "Phycisphaerae" "Planctomycetota" "Pseudomonadati"
"1086" "Halanaerobium kushneri" "B" 1.54004106776181 3.08008213552361 "Moderate" "s" "p" 1999 "Halanaerobium" "Halanaerobiaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1087" "Haloglycomyces albus" "B" 0.513347022587269 3.08008213552361 "No Class" "s" "p" 2009 "Haloglycomyces" "Glycomycetaceae" "Glycomycetales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1088" "Pseudoponticoccus marisrubri" "B" 0.513347022587269 3.08008213552361 "Moderate" "s" "p" 2017 "Pseudoponticoccus" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1089" "Saccharopolyspora aidingensis" "B" 1.36892539356605 3.08008213552361 "No Class" "s" "p" 2017 "Saccharopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1090" "Salinifilum aidingense" "B" 1.36892539356605 3.08008213552361 "No Class" "s" "p" 2017 "Salinifilum" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1091" "Actinopolyspora lacussalsi" "B" 1.71115674195756 3.42231348391513 "Extreme" "s" "p" 2013 "Actinopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1092" "Alkalibacillus salilacus" "B" 0.855578370978782 3.42231348391513 "Moderate" "s" "p" 2005 "Alkalibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1093" "Halomonas gomseomensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1094" "Halomonas koreensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2004 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1095" "Jeotgalibacillus alimentarius" "B" 0 3.42231348391513 "Moderate" "s" "p" 2001 "Jeotgalibacillus" "Caryophanaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1096" "Longibacter salinarum" "B" 0.342231348391513 3.42231348391513 "No Class" "s" "p" 2016 "Longibacter" "Salisaetaceae" "Rhodothermales" "Rhodothermia" "Rhodothermota" "Pseudomonadati"
"1097" "Salibacterium qingdaonense" "B" 0.427789185489391 3.42231348391513 "Moderate" "s" "p" 2007 "Salibacterium" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1098" "Salibacterium salarium" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p" 2006 "Salibacterium" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1099" "Salinicoccus carnicancri" "B" 0 3.42231348391513 "Moderate" "s" "p" 2010 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1100" "Salinibacillus xinjiangensis" "B" 0.171115674195756 3.59342915811088 "No Class" "s" "p" 2014 "Salinibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1101" "Nocardiopsis suaedae" "B" 0 3.76454483230664 "No Class" "s" "p" 2023 "Nocardiopsis" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1102" "Salinactinospora qingdaonensis" "B" 0.171115674195756 3.9356605065024 "Moderate" "s" "p" 2012 "Salinactinospora" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1103" "Lentibacillus salinarum" "B" 0.513347022587269 4.10677618069815 "Moderate" "s" "p" 2008 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1104" "Egibacter rhizosphaerae" "B" 1.36892539356605 4.27789185489391 "No Class" "s" "p" 2016 "Egibacter" "Egibacteraceae" "Egibacterales" "Nitriliruptoria" "Actinomycetota" "Bacillati"
"1105" "Halomonas taeanensis" "B" 0.171115674195756 4.27789185489391 "Moderate" "s" "p" 2005 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1106" "Kushneria marisflavi" "B" 0.855578370978782 4.62012320328542 "No Class" "s" "p" 2001 "Kushneria" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1107" "Halobaculum magnesiiphilum" "A" 1.02669404517454 5.13347022587269 "Extreme" "s" "p" 2013 "Halobaculum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1108" "Halorhodospira neutriphila" "B" 1.02669404517454 5.13347022587269 "Extreme" "s" "p" 2003 "Halorhodospira" "Halorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1109" "Lentibacillus halodurans" "B" 0.855578370978782 5.13347022587269 "Moderate" "s" "p" 2007 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1110" "Salibacterium aidingense" "B" 1.36892539356605 5.64681724845996 "Moderate" "s" "p" 2008 "Salibacterium" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1111" "Alkalicoccus halolimnae" "B" 0.735797399041752 4.15811088295688 "Moderate" "s" "p" 2017 "Alkalicoccus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1112" "Chromohalobacter japonicus" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2007 "Chromohalobacter" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1113" "Haloincola saccharolytica" "B" 0.855578370978782 4.27789185489391 "No Class" "s" "p" 1994 "Haloincola" "Halanaerobiaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1114" "Salinicola aestuarinus" "B" 0.427789185489391 5.13347022587269 "Moderate" "s" "p" 2019 "Salinicola" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1115" "Serinicoccus chungangensis" "B" 0 2.56673511293635 "Moderate" "s" "p" 2011 "Serinicoccus" "Ornithinimicrobiaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1116" "Vibrio alginolyticus" "B" 0 2.56673511293635 "No Class" "s" "p" 1983 "Vibrio" "Vibrionaceae" "Vibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1117" "Halomonas xinjiangensis" "B" 0 3.42231348391513 "Tolerant" "s" "p" 2010 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1118" "Halomonas alimentaria" "B" 0.171115674195756 3.9356605065024 "Moderate" "s" "p" 2002 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1119" "Aidingimonas lacisalsi" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2020 "Aidingimonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1120" "Lentibacillus salarius" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2005 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1121" "Filobacillus milosensis" "B" 0.342231348391513 3.9356605065024 "No Class" "s" "p" 2001 "Filobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1122" "Halomonas salicampi" "B" 0 3.9356605065024 "Tolerant" "s" "p" 2015 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1123" "Oceanobacillus kapialis" "B" 0.0855578370978782 4.10677618069815 "Moderate" "s" "p" 2009 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1124" "Halomonas shengliensis" "B" 0 2.56673511293635 "Moderate" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1125" "Halomonas saliphila" "B" 0 2.90896646132786 "Moderate" "s" "p" 2018 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1126" "Ornithinibacillus salinisoli" "B" 0.513347022587269 2.90896646132786 "Moderate" "s" "p" 2018 "Ornithinibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1127" "Arhodomonas aquaeolei" "B" 1.02669404517454 3.42231348391513 "Moderate" "s" "p" 1993 "Arhodomonas" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1128" "Halomonas gudaonensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1129" "Halomonas janggokensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1130" "Lentibacillus jeotgali" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p" 2010 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1131" "Saccharomonospora iraqiensis" "B" 0.855578370978782 3.42231348391513 "Moderate" "s" "p" 1994 "Saccharomonospora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1132" "Saccharopolyspora halophila" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p" 2009 "Saccharopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1133" "Haloactinospora alba" "B" 1.54004106776181 3.59342915811088 "Moderate" "s" "p" 2008 "Haloactinospora" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1134" "Gracilibacillus saliphilus" "B" 0.171115674195756 3.76454483230664 "Moderate" "s" "p" 2009 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1135" "Saccharopolyspora qijiaojingensis" "B" 1.02669404517454 3.76454483230664 "Moderate" "s" "p" 2009 "Saccharopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1136" "Fodinibius salinus" "B" 0.684462696783025 3.9356605065024 "Moderate" "s" "p" 2012 "Fodinibius" "Balneolaceae" "Balneolales" "Balneolia" "Balneolota" "Pseudomonadati"
"1137" "Haloactinopolyspora alba" "B" 1.19780971937029 3.9356605065024 "Moderate" "s" "p" 2011 "Haloactinopolyspora" "Jiangellaceae" "Jiangellales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1138" "Haloechinothrix alba" "B" 1.54004106776181 3.9356605065024 "Moderate" "s" "p" 2010 "Haloechinothrix" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1139" "Natribacillus halophilus" "B" 1.19780971937029 3.9356605065024 "Moderate" "s" "p" 2012 "Natribacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1140" "Actinopolyspora alba" "B" 1.71115674195756 4.27789185489391 "Moderate" "s" "p" 2011 "Actinopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1141" "Actinopolyspora erythraea" "B" 1.71115674195756 4.27789185489391 "Moderate" "s" "p" 2011 "Actinopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1142" "Alkalibacillus silvisoli" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2007 "Alkalibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1143" "Geomicrobium halophilum" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2010 "Geomicrobium" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1144" "Halalkalibacillus halophilus" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2007 "Halalkalibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1145" "Lentibacillus lacisalsi" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2005 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1146" "Marinococcus luteus" "B" 0 4.27789185489391 "Tolerant" "s" "p" 2009 "Marinococcus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1147" "Metabacillus halosaccharovorans" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2013 "Metabacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1148" "Nocardiopsis halophila" "B" 0 4.27789185489391 "No Class" "s" "p" 1994 "Nocardiopsis" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1149" "Prauserella alba" "B" 0.342231348391513 4.27789185489391 "Moderate" "s" "p" 2003 "Prauserella" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1150" "Prauserella halophila" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2003 "Prauserella" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1151" "Prauserella isguenensis" "B" 0.855578370978782 4.27789185489391 "No Class" "s" "p" 2015 "Prauserella" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1152" "Salinicoccus sediminis" "B" 0 4.27789185489391 "Tolerant" "s" "p" 2015 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1153" "Salinisphaera orenii" "B" 0.855578370978782 4.27789185489391 "Moderate" "s" "p" 2012 "Salinisphaera" "Salinisphaeraceae" "Nevskiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1154" "Streptomonospora alba" "B" 0.855578370978782 4.27789185489391 "No Class" "s" "p" 2003 "Streptomonospora" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1155" "Actinopolyspora mortivallis" "B" 0.855578370978782 5.13347022587269 "Moderate" "s" "p" 1991 "Actinopolyspora" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"1157" "Gracilibacillus halophilus" "B" 1.19780971937029 5.13347022587269 "Moderate" "s" "p" 2008 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1158" "Haladaptatus cibarius" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p" 2010 "Haladaptatus" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1159" "Halalkalicoccus jeotgali" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p" 2008 "Halalkalicoccus" "Halalkalicoccaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1160" "Halanaerobacter jeridensis" "B" 1.02669404517454 5.13347022587269 "Moderate" "s" "p" 2012 "Halanaerobacter" "Halobacteroidaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1161" "Halanaerobacter salinarius" "B" 0.855578370978782 5.13347022587269 "No Class" "s" "p" 1999 "Halanaerobacter" "Halobacteroidaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"1162" "Halobellus clavatus" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p" 2011 "Halobellus" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1163" "Halococcus hamelinensis" "A" 2.13894592744695 5.13347022587269 "No Class" "s" "p" 2006 "Halococcus" "Halococcaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1164" "Halostagnicola kamekurae" "A" 1.71115674195756 5.13347022587269 "Extreme" "s" "p" 2010 "Halostagnicola" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1165" "Lentibacillus kapialis" "B" 0.855578370978782 5.13347022587269 "Moderate" "s" "p" 2007 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1166" "Natrialba chahannaoensis" "A" 1.71115674195756 5.13347022587269 "No Class" "s" "p" 2001 "Natrialba" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"1167" "Salicola marasensis" "B" 1.71115674195756 5.13347022587269 "Extreme" "s" "p" 2006 "Salicola" "Incertae sedis" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1168" "Halobacillus fulvus" "B" 0.342231348391513 5.64681724845996 "Moderate" "s" "p" 2021 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1169" "Desulfonatronum cooperativum" "B" 0.0171115674195756 1.36892539356605 "Tolerant" "s" "g" 2005 "Desulfonatronum" "Desulfonatronaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"1171" "Alkalicoccus saliphilus" "B" 0.171115674195756 4.27789185489391 "No Class" "s" "p" 2005 "Alkalicoccus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1172" "Texcoconibacillus texcoconensis" "B" 0 4.44900752908966 "Tolerant" "s" "p" 2013 "Texcoconibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1173" "Lentibacillus lipolyticus" "B" 0.684462696783025 5.98904859685147 "Moderate" "s" "p" 2019 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"1174" "Natronorubrum sulfidifaciens" "A" 2.05338809034908 4.79123887748118 "Extreme" "s" "p" 2007 "Natronorubrum" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
